Entity,SiteX,SiteY,Age,GridX,GridY,Veg_dissim,Distance_to_pollen_match,Distance_to_climate_grid,GridID,Tdjf_clim,Tmam_clim,Tjja_clim,Tson_clim,Pdjf_clim,Pmam_clim,Pjja_clim,Pson_clim,Tdjf_disp,Tmam_disp,Tjja_disp,Tson_disp,Pdjf_disp,Pmam_disp,Pjja_disp,Pson_disp,Disp_mean,Disp_variance,Divergence,Clim_dissim,Distance_to_climate_match
287,-824285.4,-775308.685,10.5,-800919.209293035,-755595.022814703,0.436,894268.005,30571.3484313379,1781,-13.93683269825,2.55164407082206,20.17146145257,5.61322748893647,29.6475270822593,69.9587418854881,87.9069467563956,70.0186021975329,1.5506827508576,2.81693482063133,1.85195556832165,1.37838077646375,0.51247766933649,1.93839500798641,2.6731260734838,2.14021131565067,1.85777049784146,0.543576862455328,29.5022270496991,0.783,206155.281
287,-824285.4,-775308.685,11,-800919.209293035,-755595.022814703,0.054,0,30571.3484313379,1775,-15.3681958564859,1.31652933527386,19.711890620975,4.08383753362612,28.6116989701544,64.2938301426495,73.9226121114944,66.2736530163094,2.73655512614878,2.46577739350704,5.24905065541245,5.23771962483693,0.304152831505572,2.5102331212905,7.39334823713448,2.75449198296907,3.5814161216006,4.94075768338583,27.6137875662855,0.787,111803.399
287,-824285.4,-775308.685,11.5,-800919.209293035,-755595.022814703,0.02,0,30571.3484313379,1754,-17.2009989922714,0.245601211997127,18.1095105986648,2.10713070035258,28.4153588054647,59.1828130635541,76.6741954924985,68.535786370191,2.11728800401947,2.0611381567413,1.54505201765884,1.92477942963544,0.438484039891598,0.0976509401228519,0.0602532860976682,2.18929534374259,1.30424265223872,0.887602562253517,31.0003942566644,0.673,70710.678
287,-824285.4,-775308.685,12,-800919.209293035,-755595.022814703,0.2,1432947.228,30571.3484313379,1720,-19.4048477195093,-1.75075865230663,17.0178893358502,0.237661447739377,27.3039224951373,61.228111918158,68.9388725536102,60.5874342241585,0.40063063260699,0.319955813883591,0.0258402259091013,0.605589950293417,0.670395559442103,0.179182463639973,1.43363887909186,1.12535172140114,0.595073155783522,0.22866579140274,28.5694225380906,0.593,111803.399
296,-960726.105,-325679.471,0,-950919.209293035,-305595.022814703,0.012,27006.194,22350.8447785575,1822,-11.3049785165898,3.85652515086207,17.9300381764591,6.44701007189084,22.0770263222415,55.4843477998863,95.4856394845645,57.6896594538769,1.86671550949043,0.392146059835458,0.00117344649823971,0.180778799180807,0.227367541294608,4.35093746048605,1.55232983057248,0.750792886439996,1.16528019172476,2.10911927430386,117.308872015392,0.505,141421.356
298,-1125539.923,-228909.383,0,-1100919.20929304,-205595.022814703,0.031,63092.94,33907.8004932471,1540,-12.9995674445168,4.04437482903641,18.5498104779978,5.97785841073933,16.5278760581074,47.0236711024608,94.0547489895784,47.1743658800461,2.73335959115978,0.901983020382985,0.17605496218513,0.281500117151012,0.0271569273080534,1.69246882026237,0.0014012920587853,0.941648537398274,0.844446658488299,0.920319507845549,35.5714677610439,0.303,70710.678
298,-1125539.923,-228909.383,0.5,-1100919.20929304,-205595.022814703,0.085,0,33907.8004932471,1540,-12.9991250245817,3.64725393852415,18.3880615809713,5.86269721409052,16.7288896151027,54.5918399470794,94.0318490014627,50.0221109275074,0.799456227195252,0.800172320739095,0.42466783982896,0.229649996974126,0.118716149594773,0.121337706945913,5.01528093119832,0.240532750368844,0.96872674035566,2.74925015766795,34.6616773446178,0.397,111803.399
298,-1125539.923,-228909.383,1,-1100919.20929304,-205595.022814703,0.206,0,33907.8004932471,1540,-13.4059187254944,3.2436895994475,18.1391338954078,5.95884892583276,16.6165093788049,52.847608410767,97.8009634256769,50.4329281969464,1.11670667003894,0.886496086272331,0.408366732326399,0.952107022213871,0.255807002540476,0.270569300437773,1.3351538370945,0.179786781442004,0.675624179045787,0.201148577370392,34.7093449909657,0.205,0
298,-1125539.923,-228909.383,1.5,-1100919.20929304,-205595.022814703,0.037,41789.751,33907.8004932471,1540,-13.2194366622065,3.41557411067352,18.2395210043642,6.21002424184851,16.78464124418,53.2012982552297,96.6484309397585,49.8342262079881,0.247966972431878,0.179211531659905,1.70785554662034,0.110765299818355,0.207285176251129,0.524332802155416,1.76254173488831,0.191529582002844,0.616436080728522,0.491975051283713,34.0480792641328,0.197,0
298,-1125539.923,-228909.383,2,-1100919.20929304,-205595.022814703,0.089,43769.649,33907.8004932471,1540,-13.3361103111962,3.2384030958616,18.0206935502898,6.04841676651464,16.8540004315744,52.5172024962957,94.772437237435,48.0169097592012,0.00765488750273508,0.354008635580526,0.514001074044634,0.903776871733954,0.0828525748783528,0.605943186600927,6.26843727992207,0.0465560286382027,1.09790381736268,4.46182188608624,35.0437315018994,0.406,50000
