(Intercept),clim_dissim,disp_mean,disp_variance,divergence,clim_dissim:disp_mean,clim_dissim:disp_variance,clim_dissim:divergence,disp_mean:disp_variance,disp_mean:divergence,disp_variance:divergence,df,logLik,AICc,delta,weight
0.0533335471225235,0.0269474807622451,0.000669695496355069,NA,3.05432889692152e-05,0.000131207127246158,NA,8.09886377805415e-05,NA,NA,NA,10,3778.87051440474,-7537.67651268044,4.95501885712656,0.0101010266657264
0.0504215105783511,0.0336947023121252,0.000464685555034468,-2.46360148621136e-05,6.8996757427892e-05,NA,NA,NA,NA,NA,3.30617610525483e-07,10,3778.86693561693,-7537.66935510483,4.96217643273485,0.0100649418431609
0.0492964675298415,0.0344357647386691,0.00102400497350478,5.13684609483474e-05,9.60317774499297e-05,NA,NA,NA,-1.03358210362158e-06,-2.23976804142235e-05,NA,11,3779.86705711475,-7537.65667216438,4.97485937318379,0.0100013172640562
0.0520504955779363,0.0342372861705839,-0.00124425697308346,4.87481612287449e-05,7.065716317786e-05,NA,2.33414902656676e-05,NA,-1.22952352598079e-06,NA,NA,11,3779.86185661493,-7537.64627116474,4.98526037282863,0.0099494404250647
0.0540255945738896,0.0275975405101937,NA,2.45745854133222e-06,2.78901807629731e-05,NA,2.49554377402004e-06,8.77573867359014e-05,NA,NA,NA,10,3778.85143911199,-7537.63836209495,4.99316944261773,0.00991017270967144
0.0509114477928826,0.0339955474469934,NA,-3.32511294252614e-05,6.89660666354933e-05,NA,8.246864321578e-06,NA,NA,NA,4.02095417366153e-07,10,3778.83815665162,-7537.61179717421,5.0197343633572,0.00977941157066329
0.0510851805313899,0.0323919302853687,2.24426328991339e-05,2.66502283549629e-06,7.05913279560032e-05,0.000530689398976535,NA,NA,NA,NA,NA,10,3778.78803101115,-7537.51154589326,5.11998564430542,0.00930129534774436
0.0532120914801208,0.0319135132420891,-0.00194644784660618,5.48902905147701e-05,7.07350359397409e-05,0.00117846292372578,NA,NA,-1.07863968601869e-06,NA,NA,11,3779.78828605121,-7537.49913003731,5.13240150026104,0.0092437324342009
0.0546339124540205,0.028031825513965,-0.000751234170702659,4.85963961481943e-05,2.78151149379242e-05,NA,NA,8.73253582888214e-05,-9.75233938958351e-07,NA,NA,11,3779.78623134688,-7537.49502062864,5.13651090893109,0.00922475879637974
0.0503038377107812,0.0335665981248405,0.000511139416463434,1.04943121603169e-06,7.06095239411761e-05,NA,1.80726450529149e-06,NA,NA,NA,NA,10,3778.75276531938,-7537.44101450974,5.19051702782963,0.00897899520398438
0.0512651893037663,0.0345093503343823,-0.000725543848575416,5.86547112439717e-05,7.12852295061678e-05,NA,NA,NA,-1.0194343687018e-06,NA,-1.01365983028216e-07,11,3779.61822666667,-7537.15901126822,5.47252026934439,0.00779814872552773
0.0471272500786134,0.0336077669296614,0.00347306662287624,-6.37959527840051e-05,0.000110466995876695,NA,NA,NA,NA,-3.89245587880345e-05,8.21668173209392e-07,11,3779.38680633772,-7536.69617061033,5.93536092724025,0.00618709724275528
0.0542233333386501,0.0223924355237212,0.00205531705399133,5.44023413761641e-05,3.34187630892536e-05,NA,NA,0.000162092896714503,-1.08668826120928e-06,-3.75823699389977e-05,NA,12,3780.36864200851,-7536.64573472124,5.98579681633146,0.00603302225995318
0.0530971580386148,0.0226954875225893,0.002852258414684,2.54917800184899e-06,3.34150932801724e-05,NA,NA,0.000145179963291395,NA,-3.03584518164106e-05,NA,11,3779.30783446021,-7536.5382268553,6.09330468226653,0.00571728565075977
0.0530575328676381,0.0219612192368176,0.0029380150075344,NA,3.66382131078744e-05,0.00034904003226115,NA,0.000138029212073681,NA,-3.0357430628904e-05,NA,11,3779.25452424428,-7536.43160642344,6.19992511412966,0.00542047765746252
0.0498402863128661,0.0341177906055904,0.000695006092668542,5.27227492619467e-05,0.000100903164043402,NA,2.78466677360116e-05,NA,-1.35579265335726e-06,-2.68495197811393e-05,NA,12,3780.21888490522,-7536.34622051467,6.28531102289435,0.00519393181688084
0.0513926064506244,0.0308350789484285,-0.000202428149126009,6.17219318856079e-05,0.000103752007756101,0.00163562895083098,NA,NA,-1.20400330410752e-06,-2.92988001551744e-05,NA,12,3780.19393192483,-7536.29631455388,6.3352169836844,0.00506593137589542
