(Intercept),clim_dissim,disp_mean,disp_variance,divergence,clim_dissim:disp_mean,clim_dissim:disp_variance,clim_dissim:divergence,disp_mean:disp_variance,disp_mean:divergence,disp_variance:divergence,df,logLik,AICc,delta,weight
0.0857210939503447,-0.0272702176866429,-0.0111656495958446,6.81684396310519e-07,8.43132639856408e-06,0.00996663080812498,NA,-4.40672577788667e-05,NA,NA,NA,11,12656.7080981408,-25291.3867254177,32.3210549454889,1.69258592923965e-08
0.0859584819283347,-0.0287709532032156,-0.0112931598469318,NA,6.87077509556658e-06,0.0108524345326883,NA,-3.9131939971272e-05,NA,NA,NA,10,12655.5311283259,-25291.0377003397,32.6700800234321,1.42154592092672e-08
0.0871869646655151,-0.0319047376411718,-0.0107571219707267,NA,-1.08876361640805e-05,0.0109102269572117,NA,NA,NA,-6.26284042444992e-06,NA,10,12655.43790152,-25290.8512467279,32.8565336352476,1.29500965436994e-08
0.0844367091693094,-0.0275169299570733,-0.00996843432552796,8.46456071654817e-07,2.28441704076157e-05,0.00985121976049975,NA,-4.02293093591833e-05,NA,-1.34234217533071e-05,NA,12,12657.2501750367,-25290.4655169819,33.2422633812093,1.06785640286799e-08
0.0854412103375555,-0.0290279119963671,-0.0108013939375278,NA,1.27882354549398e-05,0.0108940480769331,NA,-3.70106473352482e-05,NA,-5.65948416613023e-06,NA,11,12655.6396694196,-25289.2498679751,34.4579123880467,5.81484346730498e-09
0.0828351776510584,-0.0191279596535245,-0.00621664364187256,2.95186947484571e-05,-2.57099243857587e-05,NA,9.85686911268953e-05,NA,-4.7684686813684e-07,NA,-3.60401931144517e-07,12,12641.7067527479,-25259.3786724044,64.3291079587216,1.89710044597148e-15
0.0792616740470303,-0.0133740424175913,-0.00625635011153444,2.91502881515157e-05,2.3498783474302e-05,NA,9.86303540947867e-05,-7.47280990154176e-05,-4.80278733981272e-07,NA,-3.50479716427394e-07,13,12642.5286235893,-25259.0166040343,64.6911763288299,1.58295357683745e-15
0.0807186943406634,-0.0192328395025794,-0.00424232228911713,-1.47912973409083e-06,-2.19601270624127e-06,NA,9.41766254668799e-05,NA,-4.76933369267875e-07,-2.14494414054236e-05,NA,12,12641.4137180488,-25258.7926030061,64.9151773570666,1.41522982766538e-15
0.0773692474825774,-0.0136513785837988,-0.00437916850204515,-9.8425039607869e-07,4.41675015395456e-05,NA,9.43487321336505e-05,-7.24020265198062e-05,-4.80391081849624e-07,-2.03367720347154e-05,NA,13,12642.1826044103,-25258.3245656763,65.3832146868699,1.11993794260422e-15
0.0829598570662994,-0.0190774912180128,-0.00605688287459376,-4.81758872958817e-07,-2.94301038170123e-05,NA,9.39862397638443e-05,NA,-4.82318281830709e-07,NA,NA,11,12640.0202307959,-25258.0109907277,65.6967896354254,9.57418959703245e-16
0.0802047441580048,-0.0189739809421504,-0.0060117005058582,-7.36903690194077e-07,NA,NA,9.37904667439341e-05,NA,-4.80072503338324e-07,NA,NA,10,12639.0035202736,-25257.9824842352,65.7252961279919,9.43869423301274e-16
0.0791872647316476,-0.0130103571792118,-0.00610339118018644,6.0454925955132e-10,2.25788828858722e-05,NA,9.41845432150883e-05,-7.88167417302641e-05,-4.85779079826248e-07,NA,NA,12,12640.9355412955,-25257.8362494995,65.8715308636674,8.77318824280531e-16
